show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform,imdb_rating
s1694,Movie,Meet Monica Velour,Keith Bearden,"Kim Cattrall, Dustin Ingram, Brian Dennehy, Keith David",,,2011,R,97 min,"Comedy, Drama","An awkward teen heads cross-country to meet Monica Velour, his favorite '80s porn star, at a rare live appearance. Kim Cattrall gives a career-defining performance as the aging sexpot.",amazon,
s1695,Movie,Meet Dr. Christian,"Bernard Vorham, Bernard Vorhaus","Jean Hersholt, Dorothy Lovett, Robert Baldwin, Enid Barnett, Paul Harvey, Marcia Mae Jones",,,1939,NR,68 min,Drama,"In the first movie of the series, we are introduced to the kindly Dr. Christian (Hersholt), who runs the small clinic in the town of River's End. With the town growing, Dr. Christian petitions the mayor for money to build a new hospital. But the mayor believes the good Doctor is too old-fashioned, and wants to replace the doctor with a more ""modern"" medicine man, along with commissioning a new highway to be built through the town. When the mayor's young daughter is injured in an accident, Dr. Christian is able to perform extremely delicate surgery without having the correct medical instruments. The town counsil is so impressed with Dr. Christian that they not only allow him to keep his job, but have been convinced to build the new hospital.",amazon,6.3
s1696,TV Show,Meerkat Manor,,,,,2007,ALL,3 Seasons,"Documentary, Special Interest","BBC America: Meerkat Manor follows a meerkat family in the Kalahari Desert, South Africa, called The Whiskers. A soap opera with a difference - the main protagonists are twelve inches high, live underground in burrows and live on a diet of worms and insects.",amazon,
s1697,Movie,Meditative Music For Yoga,Mark Knight,Ben Leinbach,,,2014,ALL,101 min,"Fitness, Special Interest","Award-winning producer and instrumentalist Ben Leinbach has created yet another enchanting compilation with this soothing blend of live instrumentals, meditative chanting, and much more. Escape day-to-day stress while gentle music guides you into a world of imagination, creativity and wonder. Use for yoga, meditation, or just as an amazing ambient background to help you relax and focus.",amazon,
s1698,Movie,Medal of Honor,Roger Sherman,Alfre Woodard,,,2008,,86 min,"Documentary, Special Interest",The story of the Medal of Honor - the highest U.S. award for valor in combat - is told through personal accounts of bravery and daring.,amazon,8.3
s1699,Movie,Meant To Be Broken,Jonathan Zuck,"Dave Coyne, Nick DePinto, Nadia Mohebban, Hunter Christy",,,2021,16+,94 min,Comedy,"On the same day Harvey gets fired from his job, he finds out that he only has one month left to live. Throwing caution to the wind, he and his friend Luke decide to take off on a crazy ride of law breaking, accidental kidnapping and self discovery.",amazon,
s1700,Movie,Me Pan Sachin,Shreyash Jadhav,"Priyadarshan Jadhav, Swwapnil Joshi, Abhijeet Khandkekar, Kalyanee Mulay, Avinash Narkar, Anuja Sathe, Suhita Thatte",,,2019,NR,135 min,"Drama, International","It's the journey of this boy on his quest through all the hardships, hurdles and circumstances. All in all, the film is a gritty tale of how you can strive to make all your dreams come true.",amazon,6.6
s1701,Movie,McLintock!,Andrew V. McLaglen,"John Wayne, Maureen O'Hara",,,1963,ALL,127 min,"Comedy, Western","George Washington McLintock, ""G.W."" to friends and foes alike, is a cattle baron and the richest man in the territory. He is surprised by the arrival of his estranged wife Katherine who has returned to take their daughter away with her. Balancing his wife, his headstrong daughter, and some crooks, G.W. tries to do what is best. From British Pathé TV's Classic Movie Collection.",amazon,7.2
s1702,Movie,McLeod's Daughters,Michael Offer,"Tammy Macintosh, Kym Wilson, Jack Thompson, Kris McQuade, Mercia Deane-Johns, Simone Kessell, Maya Stange, Robert Mammone, Kevin Smith",,,1996,16+,95 min,"Drama, Western","Following the death of her mother, Tess Silverman travels to ""Drover's Run"", the farm where she spent the first few years of her life. ""Drover's Run"" is a rural cattle property in South Australia, and is where her only remaining family lives, her father Jack and her sister Claire, whom she has not seen in 20 years.",amazon,6.7
s1703,Movie,MCA (Middle Class Abbayi),Venu Sriram,"Nani, Sai Pallavi, Bhumika Chawla",India,,2017,13+,138 min,"Drama, International",Nani(Nani) a middle-class guy who stays with his sister in law(Bhumika). He leads a happy go lucky life with his girlfriend(Sai Pallavi) but things change all of a sudden when Bhumika who is a government servant lands into problems with a dreaded criminal(Naresh Vijay) in Warangal. Rest of the story is as to how a simple guy like Nani confronts the dreaded gangster and saves his sister in law.,amazon,6.0
s1704,Movie,Mayor Cupcake,Alex Pires,"Lea Thompson, Judd Nelson, Frankie Faison",,,2007,ALL,86 min,Drama,"A hard-working cupcake baker is inadvertently elected mayor of a small town burdened with debt. Uneducated, she relies on her street smarts to clean up the town.",amazon,
s1705,TV Show,MayDay: Air Disaster Investigations,,,,,2010,13+,1 Season,"Documentary, Drama, Special Interest","This long-running TV series reconstructs major real-life air disasters and their implications for air safety. Each episode reconstructs of the incident based on cockpit voice recorders and air traffic control transcripts, as well as eyewitnesses recounts and interviews with aviation experts. It features actual footage of the disaster along with interviews with investigators who came to the scene.",amazon,
s1706,TV Show,Mayday,,"Koko Anglo, Sophie Okonedo, Peter Firth, Aidan Gillen, Lesley Manville, Matthew Ashforde, Caroline Berry, Daniel Coonan, Tom Fisher, Max Fowler, Richard Hawley, Leila Mimmack",,,2013,16+,1 Season,"Drama, Fantasy, Suspense",Mayday in a small town steeped in pagan traditions where the crowning of the May Queen is the highlight of the day until suddenly she goes missing.,amazon,
s1707,Movie,Maximum Ride,Jay Martin,"Allie Marie Evans, Patrick Johnson, Lyliana Wray, Luke Gregory Crosby, Gavin Lewis",United States,,2016,PG-13,88 min,"Action, Science Fiction","Maximum Ride is the extraordinary journey of six DNA-enhanced young orphans with the ability to fly - on a mission to rescue the youngest of their flock while discovering, scientific diabolical secrets of how they came to exist.",amazon,3.6
s1708,Movie,MAX: Live from the Greek Theatre,"Andrew Zenn, J.D. Butler","MAX, Cody Dear, Ryan Siegel, Allie Stamler, Benny Brown",,,2020,13+,42 min,"Arts, Entertainment, and Culture, Music Videos and Concerts","Multiplatinum recording artist MAX has been labeled a ""Top pop-star to watch"" by Billboard and was nominated for ""Best New Pop Artist"" at the iHeartRadio Music Awards. In this special concert event filmed at The Greek Theatre in Los Angeles, MAX puts on a spectacle performing his latest studio album ""Colour Vision"".",amazon,
s1709,Movie,Max Steel Turbo Warriors,"Dan Fraga, Lloyd Goldfine",,,,2020,ALL,44 min,"Animation, Kids","Now it's all up to Max. Can he infiltrate the Pantheon, find a cure that will restore Alex's humanity, free Rayne and Cytro, defeat the army of Terror Energy powered minions, and stop Terrorax once and for all?",amazon,
s1710,Movie,Max Steel Turbo Charged,"Dan Fraga, Lloyd Goldfine",,,,2020,ALL,45 min,"Animation, Kids","To prevent Terrorax and his sinister society of techno super villains known as NEXUS from taking over the world, Max Steel must learn to master an all-new, powerful form of Turbo Energy!",amazon,
