show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform,imdb_rating
s444,Movie,The Snows of Kilimanjaro,Henry King,"Gregory Peck, Susan Hayward, Ava Gardner, Hildegard Knef, Leo G. Carroll, Torin Thatcher, Ava Norring, Helene Stanley, Marcel Dalio, Vicente G?mez, Richard Allan, Olga Borget, John Roy, Amanda Ambrose, Sugarfoot Anderson, Salvador Baguez, Charles Bates, Maurice Brierre, Arthur Brunner, Charles Brunner, Ernest Brunner, Leonard Carey, Benny Carter, Monique Chantal, Andr? Charlot, Edward Colmans, George Davis, James Davis, Amapola Del Vando, Victor Desny, John Dodsworth, Arthur Dulac, Wade Dumas, Elzie Emanuel, Lisa Ferraday, Paul Fierro, Bert Freed, Martin Garralaga, Janine Grandel, Agn?s Laury, Ivan Lebedeff, Pepi Lenzi, Jay Loft-Lyn, Alphonse Martell, George Navarro, Constance Purdy, Tito Renaldo, Julian Rivero, Emmett Smith, Ann Staunton, Paul Thompson, Bertil Unger, Maya Van Horn, Cecil Weston, Victor Wood",,,1952,13+,113 min,"Action, Drama","The story of a writer of renown, lying injured on the slope of Africa's famous mountain, coming to the end of his life in Africa and looking back to decide if his past had any meaning.",amazon,6.2
s445,Movie,The Snow Queen: Magic of the Ice Mirror,Aleksey Tsitsilin,"Sharlto Copley, Bella Thorne, Sean Bean",,,2015,PG,79 min,"Animation, Kids",Snow queen casts a curse on her mirror making people see the worst in themselves.,amazon,
s446,TV Show,The Snow Queen,,"Pax Baldwin, Sydney White, Juliet Stevenson, Kenneth Welsh, Patrick Stewart",,,2005,TV-PG,1 Season,"Action, Fantasy","A heart-warming story of friendship and the triumph of love over evil. When Gerda and her mother take in penniless street urchin Kay, powerful forces come into play that will take both children on a magical journey and test their friendship to the extreme.",amazon,
s447,TV Show,The Smoke,,"Jamie Bamber, Taron Egerton, Gerard Kearns, Rhashan Stone, David Walmsley, Jodie Whittaker, Pippa Bennett-Warner",,,2014,16+,1 Season,TV Shows,"An experienced fire fighter is badly injured and spends almost a year recovering at home. Now he returns to work, but is he as emotionally and physically sound as he thinks he is?",amazon,7.1
s448,TV Show,The Sleepless Princess,,"Yecheng Zheng, Yixuan Hu, Cancan Huang, Lin Yang",,,2020,18+,1 Season,"Comedy, Drama, Romance","The princess Churyue Xu (Yixuan Hu), and the decisive general Yao Xue (Yecheng Zheng) are total strangers. However, a palace assassination brings them together. Churyue Xu concealed her identity to marry Yao Xue, but she doesn't know this marriage is a nightmare.",amazon,8.6
s449,Movie,The Sklar Brothers: What Are We Talking About?,Jay Chapman,"Jason Sklar, Randy Sklar",,,2014,18+,69 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","The Sklar Brothers bring their A Game to Madison Wisconsin with their energetic new comedy special. Watch the former zygote duo duke it out over sports, mullets, and airport etiquette, invoking their powerhouse humor worthy of the hall of fame.",amazon,6.0
s450,TV Show,The Silk Road,,Alfred de Montesquiou,,,2019,13+,1 Season,"Documentary, Special Interest","A war correspondent for the AP news agency and a journalist for Paris Match will be our guides. Take an extended trip through six countries and cultures. Journey through time, encountering specialists, historians, or just everyday people with a passion who will help you grasp the past and present identities of those countries. From Bursa in Turkey to Xi'an in China.",amazon,8.2
s451,Movie,The Silent Wrecks of Kwajalein Atoll,Oceanic Research Group,,,,2007,ALL,56 min,Documentary,"For the first time, the U.S. military has granted permission to an outside film crew to document the wrecks of Kwajalein Atoll, a little-known outpost in the Marshall Islands.",amazon,6.4
s452,Movie,The Silent Army,Jean van de Velde,"Thekla Reutin, Jacqueline Blom, Marco Borsato, Adrian Galley, Ricky Koole",,,2008,16+,90 min,"Action, Drama, International","Young Abu disappears suddenly together with at least ten other children after a nightly and violent raid of his village by the rebel army. His best friend Thomas cannot be consoled. He wants Abu back, and Eduard, his father, decides to try to find Abu. In fighting to save his son's friend, Eduard discovers the brutal kidnapper is someone from his past.",amazon,5.9
s453,Movie,The Silencing (4K UHD),Robin Pront,"Nikolaj Coster-Waldau, Annabelle Wallis, Hero Fiennes Tiffin, Zahn McClarnon",,,2020,R,95 min,Suspense,A reformed hunter (Nikolaj Coster-Waldau) and a sheriff (Annabelle Wallis) are caught in a deadly game of cat and mouse when they set out to track a killer who may have kidnapped the hunter's daughter five years ago.,amazon,
