show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform,imdb_rating
s8694,TV Show,Holby Blue,,"Cal MacAninch, Jimmy Akingbola, Richard Harrington, Zoe Lucker, Kacey Ainsworth, Tim Pigott-Smith, James Hillier, Chloe Howman, Kieran O'Brien, Sara Powell, Joe Jacobs, Elaine Glover, David Sterne",,,2007,16+,1 Season,Drama,"Modern-day policing isn't just about robberies and anti-social orders in this fast-paced, thrilling drama series with topical, edgy storylines. Centered around Holby South police station, Holby Blue follows the lives and loves of its dedicated heroes.",amazon,6.3
s8695,TV Show,Hargrave,,"John F. Henry II, Tom T. Simmons, SaraMia Serrander, Melissa D. Dalton, Tim McCord, Donna Madach, Marlon Correa, Joseph Covino, Marek Graham, Benajamin Hoekstra, Annette Puskas, Aldo Bigante, Andre Tinker",,,2021,16+,1 Season,"Drama, Science Fiction, Suspense","In the midst of serious doubts about his career and life, Detective Matthew Hargrave is contacted by a mysterious woman about her missing husband. Initially reluctant to take the case, Hargrave is compelled to investigate, triggering a series of life altering events that peel back the layers of his reality.",amazon,
s8696,Movie,Gold Fools,Travis Cluff,"Kalos Cluff, Travis Cluff, Vince Cosentino, Chase Ford, Whitney Grover",,,2012,16+,76 min,"Action, Drama, Suspense","When a successful family man gets laid off, he leads his friends on a gold panning expedition in the mountains of Sonora, oblivious to what lurks where the water runs real deep.",amazon,7.5
s8697,TV Show,Go Buster - Adventures of Go Buster (Made by Little Baby Bum),,,,"September 17, 2021",2020,ALL,7 Seasons,Kids,"Go Buster is an animated online educational kids series watched all over the globe. Brought to you by the creators of Little Baby Bum, Go Buster encourages learning, creativity and fun! Learn colors, shapes and numbers with our well-loved characters!",amazon,
s8698,Movie,Fairy tales and bedtime stories,,,,,2021,ALL,45 min,"Animation, Anime",Fairy Tales and bedtime stories watching each evening to a child promotes positive sleep habits. It calms a busy child and engages their mind into a world of magic and sweet dreams. The bedtime story is the best way to end the child's day and lead them into a night of wonderful rest.,amazon,
s8699,Movie,Everybody's Talking About Jamie,Jonathan Butterell,"Max Harwood, Sarah Lancashire, Lauren Patel, Shobna Gulati, Ralph Ineson, Adeel Akhtar, Sharon Horgan, Richard E. Grant",,,2021,PG-13,115 min,"Arts, Entertainment, and Culture, Comedy, LGBTQ","Despite obstacles, 16-year-old Jamie has the courage to fabulously follow his unconventional dream in this inspiring true story turned musical sensation.",amazon,6.3
s8700,Movie,Edge Of The Axe,José Ramón Larraz,"Page Mosely, Christina Marie Lane",,,1988,18+,91 min,"Horror, Suspense","The rural community of Paddock County is being rocked by the crazed exploits of an axe-wielding psychopath, who stalks the night in a black trenchcoat and mask. As the victims pile up, the authorities attempt to keep a lid on the situation, whilst computer whizz-kid Gerald and girlfriend Lillian seek to unmask the killer before the town population reaches zero.",amazon,"5,4"
s8701,Movie,Doggin' Around,Desmond Davis,"Elliott Gould, Geraldine James, Alun Armstrong, Ewan McGregor",,,1994,18+,90 min,Drama,"Joe Warren is a veteran US jazz pianist and an ageing gambler, womanizer and alcoholic. In England for what he assumes will only be a week, he is horrified to find his agent has signed him up for a tour of the lesser nightspots in the North, and appointed an ex-singer as his minder. Surely she'll have no difficulty in coping with a paternity suit, gambling debts and a visit from the police?",amazon,"7,7"
s8702,TV Show,"Do, Re & Mi",,"Jackie Tohn, Kristen Bell, Luke Youngblood",United States,"September 17, 2021",2021,NR,2 Seasons,"Animation, Anime, Kids","In this two-episode themed Halloween special, the Beebopsburgh birdies enjoy the spooky fun on the Day of the Pumpkin. Will Do be able to conquer his fear of scary pumpkins to enjoy the Harvest Festival with Re and Mi? And how will Mi find a way out of the scarecrow maze? With music as the answer, of course!",amazon,8.1
s8703,Movie,Deadly Family Secrets,Richard T. Heffron,"Loni Anderson, Gigi Rice, Greg Evigan, Barry Corbin, William Converse-Roberts",,,1995,16+,94 min,Drama,"Martha decides to return to her Texas hometown of Rocky Valley after a fifteen-year absence. Stranded upon her arrival at the train station, she ends up witnessing a man getting beaten up and killed by a group of men. Martha soon discovers that the killer may have a connection to her and finds herself in a difficult predicament.",amazon,5.1
s8704,Movie,Damage,ANGEL AMUZO MALEDO,COURAGE AKPANIKAN LAMIROSE ALI EBILOMA EMMANUEL,,,2021,18+,91 min,Drama,When a fun loving husband who has a way of gathering ant-infested firewood ignores the underlying health challenges of the wife who tries everything to stop him from his usual habit. A prey is caught and the pandemic becomes collateral damage.,amazon,
s8705,Movie,Crude Crypt Vol 1,"Robbie Lopez, Jayleen Perez, Bron Theron, Wade Hampton","Bryan Slusher, Chris Stimac, Amy Stacy, John Riggs, Adam Fletcher, Adriana Ruiz, Matt Boulton, Robbie Lopez, Melesa Murphy, Paul Stacy, Alexandra faye Sadeghian, Dan Gregory, Ryan Johnson, Ernie Yates, andy matlock",,,2021,18+,85 min,Horror,"a collection from 2019-2021 of black comedy horror shorts and creature flicks from crude cinema and friends white ninja,bron theron,jayleen perez,robbie lopez and Art Brute.",amazon,"5,0"
s8706,Movie,Cross,Patrick Durham,"Brian Austin Green, Jake Busey, Michael Clarke Duncan, Tom Sizemore, Danny Trejo, Robert Carradine, C. Thomas Howell, Gianni Capaldi, Tim Abell, Vinnie Jones, Lori Heuring",,,2011,R,105 min,"Action, Science Fiction","Given incredible power by an ancient Celtic cross, Callan continues to fight evil...Now, joined by a team of weapons experts, Callan battles an unstoppable empire in Los Angeles.",amazon,3.0
s8707,Movie,Crime Drama Thriller Film Glenn Ford Broderick Crawford in Convicted a Film Noir Classic Mystery,Henry Levin,"Glenn Ford, Broderick Crawford, Dorothy Malone",,,1950,16+,91 min,Drama,"This prison drama is the story of Joe Hufford (Glenn Ford), a man convicted of manslaughter. George Knowland (Broderick Crawford) is the warden who understands Hufford, helps him adjust to prison life and recognize that he has a future after release.",amazon,
s8708,Movie,Cold Breath,Abbas Raziji,"Bita Badran, Majid Mozaffari, Nader Naderpour, Ezzatollah Ramezanifar",,,2017,13+,84 min,Drama,"Maryam is at her thirties. She has born as a girl but went through puberty like a boy. In the path of love she tried so hard to go on with her masculinity, therefore her daily life filled with incredible challenges. Cold breath is viewing life story of a transgender person whom lives intensely within a repressed society and her struggle to survive in such a harsh condition.",amazon,8.5
s8709,TV Show,Clip: ACT 2 - Series 5,,1,,,2021,ALL,1 Season,TV Shows,1,amazon,
s8710,TV Show,Chaotic,,"Marc Thompson, Rebecca Soler",,,2008,7+,1 Season,"Animation, Kids","A group of friends find a portal to Perim, another worldly dimension, where Chaotic, a popular card game, is real.",amazon,
s8711,Movie,Call Me King,R.L. Scott,"Amin Joseph, Bai Ling, Chris Mulkey, Gabrielle Dennis",,,2017,18+,117 min,"Action, Drama","In the international world of gun running... loyalty, honor, and discretion are valuable commodities, but nothing is more priceless than the bond of family. Power begets enemies and a loved ...",amazon,"5,3"
s8712,TV Show,Broker - 心跳源计划,,"Victoria Song, Leo Luo, Xu Kai Cheng, Panda Sun",,,2021,13+,1 Season,"Action, Drama, Romance","Qiu Jia Ning is a core member of a research lab spearheaded by the leading pharmaceutical company in the nation. As their experiment enters the clinical phase, a new researcher by the name of Zhou Xiao Shan joins the team. His sharp acumen and quiet nature attract Jia Ning's attention. In reality, he is a broker who has walked into their lives for the purpose of stealing Jia Ning's research.",amazon,"6,3"
s8713,Movie,Broderick Crawford in The Mob Crime Detective Film Noir Detective 1952 Classic,Robert Parrish,"Broderick Crawford, Charles Bronson, Ernest Borgnine, Richard Kiley",,,1951,16+,86 min,"Drama, Romance",The Mob is a 1951 film noir crime thriller film directed by Robert Parrish starring Broderick Crawford and Richard Kiley. The actor Charles Bronson makes one of his first film appearances as a longshoreman and was uncredited.,amazon,
s8714,Movie,Bond - In Isolation,Sonia Kohli,"Mohinder Kohli, Upinder Singh",,,2021,7+,42 min,Horror,"Dhruv has just moved into a new house and been asked to isolate himself. The story tells how he survives with limited food, basic necessities, and a broken phone. The story boasts about his desperation to reach out to his best friend Kabir but all he feels is someone else's presence in the house.",amazon,
s8715,Movie,Black Power,George Amponsah,,,,2021,16+,90 min,Documentary,"Narrated by Daniel Kaluuya, Black Power: A British Story of Resistance, examines the Black Power movement in the late 1960s in the UK, surveying the individuals and the cultural forces that defined the era. At its heart is a series of astonishing interviews with past activists, many who are speaking for the first time, bringing to life one of the key cultural revolutions in the UK’s history",amazon,5.8
s8716,Movie,Baruva 24 Gantegalalli,Sreenivass Redde,"Satyadev, Eesha Rebba, Musskan Sethi, Srikanth",,,2019,13+,131 min,"Drama, Romance, Suspense","Vidya is happily married to Rahul until tragedy strikes with her husband's death - and she is the one responsible. She becomes the prime suspect during the investigation headed by ACP Narasimha. With growing suspicion and an unending maze of mystery, a secret is revealed which turns everyone's lives upside down.",amazon,
s8717,Movie,Balance.. hotay na,Swaroop Vaishali Balasaheb Sawant,"Richi Jain, Harish Thorat, Tushar Gijre, Radhika Pisal, Dr.Shirish Shepal, Rina Benjabin, Dhananjay Nulke, Suraj Hande, Rutuja Burkul, Anuradha Koli, Ramchandra Dhumal, Sagar Kadu",,,2019,13+,120 min,"Drama, Young Adult Audience",The story builds on two normal middle class families who guide their son's to get proper education. The journey of Raj & Himanshu is the framed in 'Balance.. hotay na??'.,amazon,
s8718,Movie,Bad Ben 4 The Mandela Effect,Nigel Bach,Nigel Bach,,,2018,18+,67 min,"Horror, Suspense","In a world of parallel universes with multiple timelines, Tom Riley takes ownership of the home on Steelmanville Road over and over again, each time having different, paranormal experiences. In every single timeline, the malevolent forces occupying the home torment Tom in an effort to drive him out, and if he won't leave, he will die.",amazon,"4,7"
s8719,Movie,Austin Weird,Dillon Cameron,"Eman Esfandi, Sarah Yokely, Shonagh Smith, Kathryn Sparks, Michael Rodriguez",,,2019,PG-13,108 min,"Comedy, Drama","Sam is a recent graduate desperate to move out of his parents stuffy downtown condo and back in with the artistic community he cherishes in college, even if it means selling his prized possessions all over Austin, TX.",amazon,
s8720,Movie,Apartment 413,Matt Patterson,"Nicholas Saenz, Brea Grant, Dave Buckman, Jon Michael Simpson, Adriana Guerra, Richard C. Jones, Kat Barrilleaux",,,2021,18+,79 min,Horror,"Marco is running out of time to find a job before his girlfriend, Dana, has their first baby. He's also losing his mind. As Marco's grip on reality begins to slip into a psychological nightmare, Dana's safety and the lines between fiction and fact disappear. If he can't figure out how to make it all stop before it's too late he might lose Dana, the baby and his sanity.",amazon,
s8721,Movie,Another Pair of Aces,Bill Bixby,"Willie Nelson, Kris Kristofferson, Joan Severance, Rip Torn",,,1991,18+,93 min,"Drama, Western","Starring Willie Nelson, Kris Kristofferson and Joan Severance. A gambler, a Texas Ranger and an FBI agent investigate a series of vigilante murders.",amazon,"5,6"
s8722,Movie,American Traitor: The Trial of Axis Sally,Michael Polish,"Al Pacino, Meadow Williams, Thomas Kretschmann",,,2021,R,109 min,"Drama, Suspense","An American woman named Mildred Gillars broadcast Nazi propaganda during World War II. The story plunges the viewer into the dark underbelly of the Third Reich’s hate-filled propaganda machine, Sally’s eventual capture, and her subsequent trial for treason in Washington D.C. after the war.",amazon,"5,6"
s8723,Movie,Alabama's Ghost,Fredric Hobbs,Christopher Brooks,,,1973,13+,93 min,"Horror, Suspense","A nightclub stage manager stumbles upon a forgotten, secret chamber underneath his nightclub. Inside is an old magician's belongings. He tries on the costume and he becomes ""Alabama, King of the Cosmos."" This new identity leads to a lot more than he bargained for. This wild film features voodoo, ghosts, vampires, robots, magicians, hippies, rock concerts, and more.",amazon,"5,1"
