show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform,imdb_rating
s7694,Movie,The Scoundrels,Hung Tzu-huan,"Wu Kang-ren, JC Lin, Nana Lee",,,2018,16+,105 min,"Action, Suspense",A disgraced basketball star working for a local gangster plunges deeper into a cruel criminal underworld when he gets involved with the city's most notorious thief.,amazon,"6,6"
s7695,Movie,The Maitlands,Lindsay Posner,"Eileen Atkins, Jennifer Ehle, Emma Fielding, Edward Fox, Bill Nighy, Harriet Walter, Samuel West",,,1993,16+,109 min,Drama,"The first production for 60 years of this witty and tragic family drama. Ronald Mackenzie's 'lost masterpiece' takes place in early summer in the secluded seaside village of Betworthy. There is strained atmosphere in the once-prosperous Maitland household, as impossible love triangles and hard times begin to take their toll.",amazon,"7,6"
s7696,Movie,The Lost World,Stuart Orme,"Bob Hoskins, Peter Falk, James Fox, Matthew Rhys",,,2001,16+,56 min,"Action, Drama","At the dawn of the 20th Century, an expedition leaves foggy London to explore a secluded plateau in the impenetrable jungles of South America. They find a world where time has stopped, and man battles not only with savage dinosaurs, but also with his own primitive ancestors.",amazon,
s7697,Movie,The Last House on the Street,Adam Berardi,"Mary Kate McCormick, Dylan Garcia, Ashley Rene, Jeremy Behie",,,2021,18+,73 min,"Comedy, Horror","When two beautiful college girls move across the street from Derek and Chad, sinister things begin to happen.",amazon,"1,8"
s7698,Movie,The Healer,Mike Hodges,"Paul Rhys, Geraldine James, Nicky Henson",,,1994,16+,93 min,Drama,"Sparrowhill Hospital is awash with anger and confusion when the mysterious Dr John shows a miraculous ability to heal by touch. As the medical authorities face the awful possibility of condoning alternative practices, Dr John is forced to put his gifts on trial, torn between miracles and medicine.",amazon,
s7699,Movie,The Habit of Beauty,Mirko Pincelli,"Vincenzo Amato, Francesca Neri, Noel Clarke, Nico Mirallegro, Nick Moran, Kierston Wareing",,,2016,13+,89 min,"Drama, Romance","A successful professional couple is torn apart when they lose their only child, but destiny brings them back together to reconcile and understand each other's grief.",amazon,"6,9"
s7700,Movie,The Great Kandinsky,Terry Winsor,"Richard Harris, Tom Bell, Dorothy Tutin, Tim McInnerny, Ian Carmichael",,,1995,16+,82 min,Drama,"Hollywood legend Richard Harris takes the title role as a once-great escapologist, now sprightly septuagenarian banned from doing tricks at his old peoples' home. The death of a friend spurs him once more into action. Slipping out of the home, Kandinsky sets off in search of the one illusion he has never been able to master: The Incredible Underwater Torture.",amazon,"7,7"
s7701,Movie,The Glass House,Tom Gries,"Alan Alda, Billy Dee Williams",,,1972,13+,90 min,Drama,A young guard and a college professor convicted of manslaughter both start their first day in prison. Starring Alan Alda and Billy Dee Williams. Story by Truman Capote.,amazon,7.2
s7702,Movie,The Clothes in the Wardrobe,Waris Hussein,"Jeanne Moreau, Joan Plowright, Julie Walters, David Threlfall, Lena Headey",,,1993,16+,79 min,"Comedy, Drama","A wicked comedy set in Egypt and London in the late 1950s. Lili (exotic, rebellious, free-living and dangerously delightful) descends on deeply conservative Monica, who is frantically preparing for her daughter's wedding. Forming an unholy alliance with the groom's mother, Lili prevents a disastrous marriage by causing a scandal that suburbia will never forget.",amazon,6.3
s7703,Movie,The Angry Red Planet - Original Version Of The Sci-Fi Classic!,Ib Melchior,"Gerald Mohr, Nora Hayden, Les Tremayne, Jack Kruschen, Paul Hahn",,,1959,13+,83 min,"Action, Horror, Science Fiction","The first spaceship to Mars, presumed lost, is found & brought to Earth. Only two of the crew are alive. One is unconscious due to an attached alien growth, the other is traumatized, with amnesia. The amnesiac is interrogated into remembering what happened. Those in charge learn of the terrible dangers awaiting anyone venturing into the Martian ecosystem. Mars scenes are tinted red in Cinemagic.",amazon,
s7704,Movie,The Adventures of Robert Louis Stevenson,Andrew Thompson,Tom Conti,,,2005,16+,58 min,Drama,"The true-life adventures of author Robert Louis Stevenson often outdid the escapades of his famous fictional creations. Dramatizations of Stevenson's extraordinary life form the narrative backbone of the film, backed up by photographs, interviews with experts and, of course, his enduring literary legacy.",amazon,
s7705,Movie,Stranger from Shaolin,Lu Chun Ku,"Wong Hang Sau, Kao Kang",,,1977,NR,94 min,"Action, Drama","When her entire family is killed by the occupying Manchus, Yim Wing Chun narrowly escapes to Shaolin temple. Disguised as a man, she persuades the abbot to let her stay and is given the job of fetching water from the well.",amazon,6.3
s7706,Movie,Spy Smasher Returns - A Feature Version Of The Classic Serial,William Witney,"Kane Richmond, Marge Chapman, Sam Flint, Hans Schumm, Tristram Coffin, Franco Corsaro, Hans von Morhart, Georges Renavent",,,1942,13+,100 min,"Action, Drama, Science Fiction","Kane Richmond is Spy Smasher in this feature compiled in 1966...He battles a Nazi villain known as The Mask, who heads a gang of saboteurs determined to spread destruction across America during WWII. Full of action, suspense, & super excitement, it's a condensation of the best movie serial of all time! Renowned stuntmen, Yakima Canutt, Carey Loftin, David Sharpe & others help made it exceptional.",amazon,
s7707,Movie,Spring,Alexandra Swarens,"Emma Maddock, Alexandra Swarens",,,2021,13+,87 min,"Drama, LGBTQ, Romance","An English girl has her life uprooted by her mom for her last year of High School. As if it wasn't hard enough leaving behind what is familiar, this small American town holds past memories for her as she spent years there as a child. Although, the hazy recollections and past history are only a small piece in the uncertainty of teenagehood.",amazon,"5,3"
s7708,TV Show,Sinbad,,"Elliot Knight, Elliot Cowan, Marama Corlett, Estella Daniels",,,2012,13+,1 Season,"Action, Science Fiction","A thrilling, modern, magical reinvention of the famous legend from the Arabian Nights. On the run from his home town of Basra and under a curse from his grandmother for a killing that led to the death of his much-loved brother, the streetwise Sinbad finds himself on an epic and emotional quest to rid himself of the curse and to embrace his destiny.",amazon,
s7709,Movie,She Was So Pretty,Brooklyn Ewing,"Jerry Larew Jr, Whitlee Flinn, Justin Ewing",,,2016,18+,76 min,Horror,"Alfred James Ellis III, aka Alfie (Jerry Larew Jr) spends his time walking the streets in search of the woman of his dreams. Valerie Vestron (Whitlee Flinn) finds herself in the wrong place, at the wrong time, and now she feels like she is constantly being watched.",amazon,3.7
s7710,Movie,Sengottai,C. V. Sasikumar,"Arjun, Meena, Rambha, Vijayakumar",,,1996,ALL,152 min,"Action, Drama, Romance","Thirumoorthy is a corrupt politician who plans to kill the prime minister as he lusts after his position. However, Sekhar, a young police officer, creates hurdles in his path.",amazon,6.3
s7711,Movie,Seithithaal,Punch Bharat,Punch Bharat,,,2021,13+,111 min,Drama,It is a story of four jobless friends who are out on a mission to find the truth to a mystery.,amazon,
