show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform,imdb_rating
s6194,Movie,White Lies,Ken Selden,"Jared Harris, Rosanna Arquette, Julie Warner, Gil Bellows, Daryl Mitchell, Caroline Aaron, Harvey Fierstein, Lawrence Gilliard Jr., Ruben Santiago-Hudson, Terry Kinney, Zach Grenier",,,1991,18+,95 min,Comedy,"A museum worker pretends to be an artist in order to impress women. When an attractive assistant director of a SoHo art gallery overhears him, she offers to exhibit his work. He plays along, which leads to a series of complications following his newfound double life. He starts falling in love with the assistant director, but her art critic fiancé grows suspicious.",amazon,
s6195,Movie,Vampire Dog,Geoff Anderson,"Collin MacKechnie, Julia Sarah Stone, Amy Matysio",,,2012,G,91 min,"Comedy, Kids",A boy unwittingly adopts a 600 year old talking vampire dog and soon discovers that when they face their fears they can do anything.,amazon,
s6196,Movie,To Catch a King,Clive Donner,"Robert Wagner, Teri Garr, Horst Janson",,,1984,16+,114 min,"Drama, Suspense","In 1940, two Americans, Joe Jackson and Hannah Winter, attempt to thwart a plot to kidnap the Duke of Windsor during a visit to Windsor.",amazon,
s6197,Movie,The Widow,Ivan Minin,"Viktotiya Potemina, Anastasiya Gribova, Margarita Bychkova",,,2020,18+,86 min,"Horror, Suspense","In a densely forested area north of St. Petersburg people have been going missing for three decades.The few corpses ever found were naked. On October 14, 2017 a team of volunteers went out into the woods in search of a missing teenager. Soon, all communication with them was lost. Locals believe they were taken by the same dark spirit that took the others. They call it the Limping Widow.",amazon,
s6198,Movie,The Turning,"Jonathan auf der Heide, Tony Ayres","Colin Friels, James Peter Fraser, Henri Phillips, Nikita Leigh-Pritchard, Tim Winton",,,2014,R,107 min,Drama,"The Turning explores the impact of past on present, how the seemingly random incidents that change and shape us can never be escaped or let go of. All of the stories are bound together by recurring themes; the passing of time, regret, addiction and obsession.",amazon,
s6199,Movie,The Silent Mountain,Ernst Gossner,"William Moseley, Eugenia Costantini, Claudia Cardinale",,,2014,18+,99 min,"Action, Drama",A young Austrian soldier in World War I fights his way through the Alps to rescue his first love and escape the impending explosion that will rock the mountain.,amazon,
s6200,Movie,The Shooting,Monte Hellman,"Will Hutchins, Millie Perkins, Jack Nicholson",,,1968,G,81 min,"Special Interest, Western",A mysterious woman persuades two cowboys to help her in a revenge scheme.,amazon,
s6201,Movie,The Secret of NIMH,Don Bluth,"Derek Jacobi, Arthur Malet, Dom DeLuise, Elizabeth Hartman, Hermione Baddlely, Wil Wheaton, Shannen Doherty, Ian Fried, Jodi Hicks, John Carradine",,,1982,G,83 min,"Animation, Kids","Fun, drama and suspense come vividly to life in this enchanting cartoon fantasy, based on Robert O'Brien's award-winning tale (Mrs. Frisby and the Rats of NIMH) of a timid mouse who becomes a heroine in spite of herself.",amazon,
s6202,Movie,The Rising Hawk,"John Wynn, Akhtem Seitablaev","Robert Patrick, Tommy Flanagan, Poppy Drayton",,,2019,16+,125 min,Action,The Mongol Empire had grown to the largest the world had ever known. It's armies now laid siege to much of Eastern Europe. A small village fights for freedom in the frontier landscape of the Carpathian Mountains.,amazon,
s6203,TV Show,The Incredible Stories of Bimi Boo and Friends,,"Marlies Dubois, Steven Marriott, Ken Ruffelle, Karilynne Davies, Michelle Weisbom, Steven Marriot, Angela Gooliaff, Emily Kate, Will Wood, Leon De Luna",,,2021,TV-G,1 Season,"Action, Kids",For the curious puppy Bimi Boo the world is an incredible place with so much to do and learn. He and his very diverse group of friends are constantly pulled into amusing adventures to find answers to their most pressing questions.,amazon,
s6204,Movie,The Hunted,Josh Stewart,"Josh Stewart, Skipp Sudduth, Katherine Von Till, Ronnie Gene Blevins, Nikki Deloach",,,2014,PG-13,88 min,Suspense,"Chasing their dream of landing their own hunting show, two hunters head into the dense, secluded mountains of West Virginia only to realize they are not alone.",amazon,
s6205,Movie,The Genesis Code,"C. Thomas Howell, Patrick Read Johnson","Logan Bartholomew, Kelsey Sanders, C.R. Lewis",,,2012,PG,71 min,"Drama, Romance, Special Interest","Kerry, a college student, aspiring journalist and Born Again Christian strikes up a budding romance with fellow undergrad Blake, a popular collegiate hockey superstar.",amazon,
s6206,Movie,The Firm,Nick Love,"Paul Anderson, Calum MacNab, Daniel Mays",,,2009,18+,89 min,"Comedy, Drama, Suspense",Football hooligans organize themselves into firms that represent their favorite team.,amazon,
s6207,Movie,The Death Artist,Michael McDonald,"Anthony Michael Hall, Justine Bateman, David Cross, Will Ferrell",,,1995,R,79 min,"Comedy, Horror, Suspense","Walter Paisley, a busboy at a cappuccino bar called the Jabberjaw, is praised as a genius after he kills his landlady's cat and covers it in plaster. Pressured to produce more work, he goes after bigger subjects.",amazon,
s6208,Movie,The Blazing Sun,John English,"Gene Autry, Champion, Lynne Roberts",,,1950,NR,70 min,"Special Interest, Western","Gene Autry and pal Mike hunt bank robbers Al Bartlett and Trot Lucas. To throw off his pursuers, Bartlett kills his own twin brother and Lucas hoping that Gene and the Sheriff will believe him dead.",amazon,7.4
s6209,Movie,The Believers,John Schlesinger,"Martin Sheen, Helen Shaver, Carla Pinza, Elizabeth Wilson, Harley Cross, Harris Yulin, Jimmy Smits, Robert Loggia",,,1987,R,114 min,Suspense,"Widowed police psychologist Cal Jamison (Martin Sheen) is forced to deal with a series of ritualistic child murders perpetrated by a rogue cult. As the cult's connections to corporate oligarchs emerge, Cal and his family are put at terrible risk.",amazon,
s6210,Movie,The Babysitters,David Ross,"Lauren Birkell, Paul Borghese, Cynthia Nixon, John Leguizamo",,,2007,18+,89 min,"Comedy, Drama",A teenager turns her babysitting service into a call-girl service for married guys after fooling around with one of her customers.,amazon,
s6211,Movie,Texans Never Cry,Frank McDonald,"Gene Autry, Champion, Mary Castle",,,1951,NR,67 min,"Special Interest, Western","Gene Autry learns that a family’s money was used to buy counterfeit Mexican lottery tickets, and he has to track down the counterfeiters. Gene faces long odds when a killer comes to do away with him.",amazon,
s6212,Movie,Swallows & Amazons,Philippa Lowthorpe,"Rafe Spall, Andrew Scott, Kelly Macdonald, Orla Hill, Dane Hughes, Bobby McCullock, Teddie-Rose Malleson-Allen, Seren Hawkes, Hannah-Jayne Thorp",,,2017,7+,97 min,"Adventure, Kids",Four children (The Swallows) go on a sailing adventure to an island where they encounter a rival group of kids (The Amazons). Rivalry quickly turns to comradery when pirates threaten all they hold dear.,amazon,
s6213,Movie,Suck,Rob Stefaniuk,"Rob Stefaniuk, Jessica Paré, Henry Rollins, Dave Foley, Paul Anthony, Mike Lobel",Canada,,2009,R,91 min,"Arts, Entertainment, and Culture, Comedy, Horror","A rock'n'roll vampire spoof about a down and out band, The Winners, that will do anything for a record deal. When their disgruntled manager tells them that they are getting ""long in the tooth"", he doesn't know how prophetic he is.",amazon,
s6214,Movie,Starbuck,Ken Scott,"Patrick Huard, Julie LeBreton, Antoine Bertrand",,,2011,R,109 min,"Comedy, Drama","Just when David Wosniak decides to finally take control of his life, this eternal 42 year old teenager discovers that he's the biological father of 533 children. Suddenly, his life is much more complicated that he anticipated.",amazon,
s6215,TV Show,Spides,,"Rosabell Laurenti Sellers, Falk Hentschel, Florence Kasumba, Désirée Nosbusch, Francis Fulton-Smith, Susanne Wuest, Damian Hardung, Aleksander Jovanovic, Harvey Friedman, Anna Bullard, Lion-Russell Baumann, Artjom Gilz, Branko Tomovic, Mathis Wernecke",,,2020,16+,1 Season,"Science Fiction, Suspense","Set in modern-day Berlin, Spides follows Nora (Laurenti Sellers) a young woman who wakes from a coma without any memory of her previous life after taking a mysterious drug; local police detective David Leonhart (Falk Hentschel) and his partner Nique Navar (Florence Kasumba) are hunting down that drug in relation to dozens of missing teens.",amazon,
s6216,Movie,Sorority Row,Stewart Hendler,"Jamie Chung, Audrina Patridge, Briana Evigan, Rumer Willis, Leah Pipes",,,2009,R,101 min,"Horror, Suspense","They're sisters to the bloody end! After a prank goes fatally wrong, party-hearty sorority girls hide the corpse. Months later, a mysterious killer won't let the past stay buried.",amazon,
s6217,Movie,Sincerity,Charles Guérin Surville,"Jacky Terrasson, Jeanne Damas, Charles Pépin, Charleyne Biondi, Manon Palmer, Annika Stenvall",,,2020,13+,82 min,"Comedy, Music Videos and Concerts","To seduce Louise, a young actress, Jean decides to shoot a film. He invites two beautiful muses to join him, Mia and Alma, together with Jimmy, a famous jazz pianist, and Guillaume, his long-time friend and philosopher who comes with a brainy neuroscientist. Day by day, the team imagines the script of the film.",amazon,
s6218,Movie,Saul: The Journey to Damascus,Mario Azzopardi,"Kyle Schmid, Emmanuelle Vaugier, John Rhys-Davies, Brittany Bristow, Kris Holden-Ried",,,2014,13+,86 min,Drama,"This epic Biblical movie brings to life one of early Christianity's most notable figures Saul of Tarsus. As a dedicated leader, Saul fights to defend his faith and traditions - earning him the title Butcher of Tarsus. While on a mission, Saul is blinded, forced to re-evaluate his beliefs and transformed by the forgiveness of a woman. But joining the Christian ranks has deadly consequences...",amazon,
s6219,Movie,Revelation Trail,John P. Gibson,"Daniel Van Thomas, Daniel Britt, Jordan Elizabeth",,,2014,R,106 min,"Drama, Horror, Western","A frontier preacher's life is destroyed when a gruesome power consumes the land; he now must make the choice to give in to ruin, or find his purpose in the fight against the mysterious undead. Joined by the town lawman, the two men learn the extremes they're willing to go to in order to make it to the next day, as well as the depths people will go to when they truly believe in something.",amazon,
s6220,Movie,PrimeVideoQAMovie11 US,Test Director US,"Test Actor1 US, Test Actor2",,,2015,G,0 min,"Action, Drama",PrimeVideoQAMovie11 US Title Summary Goes here total of Summary400,amazon,
s6221,TV Show,Overlord,,"Bai Lu, Leon Lai, Alen Fang, Zhai Zi Lu, Xu Mu Chan, Hou Pei Shan",,,2020,13+,1 Season,"Comedy, Suspense","In the late Tang Dynasty, Li Qingliu was a great business man. At this time, he was showing the gold thread clothes of his silk factory in a restaurant in the capital. Outside the restaurant, Long Aoyi, the boss of the Longzhu Gang, was fighting with the Snake Gang who oppressed the people. Then the two met each other because of the disappearance case of the gold thread.",amazon,
s6222,Movie,No Clue,Carl Bessai,"Brent Butt, Amy Smart, David Koechner, David Cubitt, Dan Payne",,,2013,13+,96 min,Comedy,"When a beautiful woman named Kyra accidentally stumbles into Leo Falloon's office and mistakes him for a private investigator, he doesn't exactly set the record straight. He instead agrees to help locate her missing brother - one of Vancouver's top video game designers. Leo's investigation leads him into the surprisingly dangerous and cutthroat world of the video game industry.",amazon,
s6223,Movie,Muqaddar Ka Faisla,,,,,1987,13+,172 min,International,"When Krishnakant, a virtuous Hindu pandit, is falsely accused of theft and rape, he is arrested and swiftly imprisoned and his family is left penniless. Years later, after serving his sentence, he is released from prison, his only goal is to exact retribution for his framing, and yet he has no money, resources or the ruthlessness to combat the conniving and manipulative culprits who framed him.",amazon,
s6224,Movie,Morphle - The Magical World of Mila and Morphle,Arthur van Merwijk,Sabrina Glow,,,2019,ALL,52 min,"Animation, Kids","In this compilation of My Magic Pet Morphle cartoon, Mila and Morphle explore mystical universes with dinosaurs, visit the emotional island, and embark on a journey to the mirror world!",amazon,
s6225,Movie,Madeline,Daisy von Scherler Mayer,"Kristian De La Osa, Frances McDormand, Nigel Hawthorne, Hatty Jones, Rachel Dennis, Pilar Garrard",,,1998,PG,89 min,Kids,Fearless Madeline (Hatty Jones) is the heroine of this family comedy about a Parisian schoolgirl and her classmates. Based on Ludwig Bemelman's classic book series.,amazon,
s6226,Movie,Love Story,Arthur Hiller,"Ali MacGraw, Ryan O'Neal, Tommy Lee Jones, John Marley, Ray Milland",,,1970,PG,100 min,"Comedy, Drama, Romance","The story of a young couple who cross social barriers, marry and ultimately face the greatest crisis of all.",amazon,
s6227,Movie,Loser,Arhaan,"Worship Khanna, Shiksha Kandpal, Bharti Koli, Saud Khan, Rohit Devda, Zahid Shaikh, Rajan Rakesh Kumar Singh, Akash Narvade, Shahbaz Sayed, Neha Gupta",,,2021,16+,41 min,Drama,"Loser is a short film, that sheds light on the changing perception with regards to sex in a metropolitan city. It is about a young girl who gets raped because of her perception towards sex. What the girl does next, dismantles all preconceived notions, the society has formed about women's sexuality in the modern era, and depicts how women's attitude have changed over time.",amazon,
