show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform,imdb_rating
s2694,Movie,Dear Comrade,Bharat Kamma,"Vijay Deverakonda, Rashmika Mandanna",India,,2019,13+,167 min,"Action, Drama, Romance","Dear Comrade is an intense love story between Bobby (Vijay Deverakonda), a student union leader and Lily (Rashmika Mandanna) a state-level cricketer. Bobby has anger management issues, which he needs to overcome and fight for his love.",amazon,7.4
s2695,TV Show,Deal or No Deal,,Howie Mandel,,,2019,ALL,5 Seasons,"Documentary, Special Interest, Unscripted","With 26 sealed briefcases full of varying amounts of cash, ranging from a penny to $1m - contestants decide whether to accept an offer of cash from 'the Banker,' in exchange for what might be contained in the contestant's chosen briefcase.",amazon,
s2696,Movie,Deadly Vows,Alan Metzger,"Peggy Lipton, Gerald McRaney, Josie Bissett, Venus Terzo",,,1994,13+,89 min,"Drama, Suspense","Tom Weston is a short tempered truck driver who has always aspired to live big. He begins dating Bobbi Gilbert who is half his age & plans on marrying her, which is a problem since he's already married to Nancy. Now to achieve the life he's always wanted Tom begins to concoct a web of lies that lead to betrayal, deceit, arson & murder. Based on a shocking true story.",amazon,6.0
s2697,Movie,Deadly Companions,Sam Peckinpah,"Maureen O'Hara, Brian Keith, Steve Cochran, Chill Wills, Strother Martin, Will Wright, James O'Hara, Peter O'Crotty, Billy Vaughan, Hank Gobble, Big John Hamilton, Chuck Hayward, Riley Hill, Buck Sharpe, Robert Sheldon",,,1961,PG-13,100 min,"Drama, Western","Ex-army officer accidentally kills a woman's son, tries to make up for it by escorting the funeral procession through dangerous Indian territory.",amazon,6.1
s2698,Movie,Deadboy and the Elephantmen,,,,,2011,NR,26 min,Music Videos and Concerts,Deadboy and the Elephantmen rock some hard-edged blues from the Louisiana territory.,amazon,
s2699,Movie,Dead Trigger,"Mike Cuff, Scott Windhauser","Dolph Lundgren, Autumn Reeser, Isaiah Washington",,,2019,R,92 min,"Action, Adventure",Captain Kyle Walker (Dolph Lundgren) leads an elite military team to combat zombies and save the world.,amazon,
s2700,Movie,Dead Man Running,Alex De Rakoff,"Clint Koroan, Fredi Nwaka, Curtis Jackson, Danny Dyer",,,2009,R,92 min,"Action, Drama","Ex-Con Nick has a problem. One of the most vicious loan sharks in the city is cashing in on all his debts, and unfortunately, Nick is on his list. Given 24 hours to raise $100,000, Nick and his partner Bing embark on violent crime filled thrill ride to try and raise the cash before time runs out.",amazon,6.0
s2701,TV Show,Dead Lucky,,"Rachel Griffiths, Yoson An, Mojean Aria",,,2018,TV-14,1 Season,"Drama, Suspense","In this character-driven crime thriller series, two very different detectives are thrown together to solve a murder before the killer wreaks havoc across Sydney.",amazon,6.8
s2702,Movie,Dead Combo,,,,,2011,NR,28 min,Music Videos and Concerts,Imagine The Strokes tackling Daft Punk after a 2 day rave while shrieking about the Sex Pistols' glory days and you'll know what to expect from a typical Neimo gig.,amazon,
s2703,TV Show,Dead Boss,,"Sharon Horgan, Jennifer Saunders",,,2012,TV-14,1 Season,Comedy,"Helen Stephens has never done anything wrong in her life. So when she is falsely imprisoned for her boss's murder, she knows it's only a matter of time before this is all sorted. While in prison, Helen fights to prove her innocence by finding the real killer. All she has to cope with is a prison governor who believes that appeals are bad for morale, and an arsonist cellmate who just wants a hug.",amazon,6.5
