show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform,imdb_rating
s6694,Movie,Burning Plain,Guillermo Arriaga,"Charlize Theron, Kim Basinger, Jennifer Lawrence, Jose Maria Yazpik, Joaquim de Almeida, Tessa Ia, Diego J. Torres, J.D. Pardo, Danny Pino, magnolia, Magnolia",,,2009,R,107 min,"Arthouse, Drama, Suspense","From writer/director Guillermo Arriaga comes THE BURNING PLAIN, a romantic mystery about a woman on the edge who takes an emotional journey back to the defining moment of her life. Oscar-winner Charlize Theron plays Sylvia, a beautiful restaurant manager whose cool, professional demeanor masks the sexually charged storm within. When a stranger from Mexico confronts her with her mysterious past, Sylvia is launched into a journey through space and time that inextricably connects her to these disparate characters, all of whom are grappling with their own romantic destinies. In Mexico, a young motherless girl, Maria (Tessa Ia), lives happily with her father and his best friend until a tragic accident changes it all. In the New Mexico border town of Las Cruces, two teenagers, Mariana (Jennifer Lawrence) and Santiago (JD Pardo), find love in the aftermath of their parents' sudden deaths. In an abandoned trailer, a housewife, Gina (Oscar-winner Kim Basinger), embarks on a passionate affair that will put Sylvia and the others on a collision course with the explosive power of forbidden love.",amazon,
s6695,Movie,Budget Padmanabhan,T. P. Gajendran,"Prabhu, Ramya Krishnan, Karan, Mumtaj, Vivek, Manivannan, Kovai Sarala",,,2000,ALL,158 min,"Comedy, Drama","Padmanabham, a miser, spends his money carefully. He is put into a dilemma when unwelcome guests knock at his door, and at the same time, his wife gives birth to triplets.",amazon,"6,3"
s6696,Movie,Blood of Redemption,"Giorgio Serafini, Shawn Sourgose","Dolph Lundgren, Vinnie Jones, Billy Zane",,,2013,18+,85 min,Action,"Quinn had it all: power, money, a brother who idolized him, and a woman who loved him. But he also had enemies. Betrayed by his inner circle, Quinn is set up and arrested. Upon release from prison, Quinn tries to leave his demons in the past, but ""The Company"" won't let him leave in peace. Quinn fights, joining forces with his former henchman, The Swede, to take his enemies head on.",amazon,4.5
s6697,Movie,Black River Monster,John Duncan,"Leroy, Sleaze, Louie, Mr D.",,,1986,7+,49 min,"Action, Comedy","It's Leroy's big adventure! With a summer job as ranch-hand at an all girl guest ranch, he thinks it will be one big picnic. But things are not as peachy as they seem when the Black River Montser shows up at the ranch and strange things start happening. Two local bad-guys get caught up in the mishaps which leads to a hair-raising hilarious adventure. SOV (shot on video)",amazon,3.5
s6698,Movie,Bad Cupid,"Diana Cossa, Neal Howard","John Rhys-Davies, Shane Nepveu, Briana Marin, Claybourne Elder",,,2021,16+,81 min,Comedy,"Love is held hostage as an unhinged Cupid takes a heartbroken guy and his romantic rival on a comic kidnapping. Bad Cupid is full of twists with a surprise ending you'll never see coming. Stars John Rhys-Davies (Indiana Jones, Lord of the Rings).",amazon,"4,5"
s6699,Movie,Autobiography Mike Tyson,David Michaels,Mike Tyson,,,2017,PG-13,86 min,"Documentary, Sports",The candid story of infamous boxerMike Tyson's rise from a life of poverty and petty crime to become the youngest Heavyweight Champion of the World.,amazon,
s6700,Movie,Angel And The Badman,James Edward Grant,"John Wayne, Gail Russell, Harry Carey, Bruce Cabot",,,1947,13+,99 min,Western,"Quirt Evans (John Wayne), an all round bad guy, is nursed back to health and sought after by Penelope Worth (Gail Russell), a peace-loving Quaker girl. He eventually finds himself having to choose between his world and the world Penelope lives in.",amazon,"6,9"
s6701,Movie,Ambush at Dark Canyon,Dustin Rikert,"Kix Brooks, Ernie Hudson, Abraham Benrubi, Timothy V. Murphy",,,2012,R,95 min,"Action, Western","Duke Donovan, a famous lawman turned bank robber, plans a daring escape from prison with help from an old buffalo soldier. If he cannot break out, his ex-partner will murder his wife and ruin the legacy of the U.S. Marshals.",amazon,4.9
s6702,Movie,27 September,Meenakshi Vinay Rai,Meenakshi Vinay Rai,,,2021,13+,80 min,Drama,"The film is about life, love, and nirvana. Siddharth is visiting for the first time the holy city of Banaras. One day at the ghat he sees and instantly gets hooked with the aura of Malvika. Is destiny playing a game with him? Is it mere attraction?",amazon,7.8
s6703,Movie,Vazhakku Enn 18/9,Balaji Sakthivel,"Sri, Urmila Mahanta, Mithun Murali, Manisha Yadav, Rethika Srinivas",,,2012,13+,118 min,"Drama, Suspense","A poor Venu works at a roadside shop and loves Jyothi, who is employed in the adjoining apartment. Before Venu gets a chance to express his love to her, she meets with an accident and he is arrested.",amazon,8.3
