show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform,imdb_rating
s5694,Movie,Incarnation,Filip Kovacevic,,,,2021,16+,82 min,Science Fiction,"A man wakes up on a bench without any idea who he is until he is shot dead by four masked assassins. The man wakes on the same bench thinking his death was a dream until the assassins return and despite his attempts to escape, they kill him again. Stuck in this hellish loop, he tries to unravel the mystery and with each death he gets closer to the truth.",amazon,
s5695,Movie,Dead Life: Wormwood's End,William Victor Schotten,,,,2021,16+,80 min,Horror,"Four months after the apocalypse was all it took to turn people into monsters and monsters into devils. Three survivors seek refuge with the Wormwood Militia only to find Camp Wormwood may offer protection from the walking dead - but the camp holds dangers of its own. Once the living dead begin to change into unstoppable ""Necrodevils"", the future begins to look hopeless.",amazon,
s5696,Movie,Chiriakhana,Satyajit Ray,"Uttam Kumar, Kanika Mozumdar, Shubhendu Chattopadhyay, Chinmoy Roy, Nripati Chatterjee, Shekhar Chatterjee, Bankim Ghosh, Jahar Ganguly",,,1967,13+,127 min,Drama,"Byomkesh Bakshi, a detective, is hired by a rich man to investigate the name of an actress appeared in a movie decades ago, who has eloped ever since. The case became complicated when the rich man is murdered by someone for that.",amazon,"7,3"
s5697,Movie,Wheels on the Bus & More Kids Songs - CoComelon,Moonbug Entertainment,,,,2018,ALL,51 min,Kids,"CoComelon is here to help preschoolers learn letters, numbers, animal sounds, colors, and more. The videos impart prosocial life lessons, providing parents with an opportunity to teach and play with their children as they watch together. Sing along to some of the popular nursery rhymes like Wheels on the Bus, Bath Song, Baby Shark, Humpty Dumpty, and more!",amazon,
s5698,TV Show,The Great Waves,,"Bao Jianfeng, Hai Qing, Sun Lishi, Li Qiang",,,2021,18+,1 Season,"Action, Drama","A retelling of a time when the Chinese nation is in a position to make a historical decision. A group of China's best scholars has found a solution to save the country, this decision is to conform to communism, and jointly established the government. Together, they encounter difficulties and obstacles, forging ahead, and constantly developing and growing.",amazon,
s5699,TV Show,Southland Bounty Hunters,,"Patrick Thomas, Zak Holman, Matthew Alvarez, Terry Rasha, Tom Tremblay, Trevor O'Connor",,,2021,16+,1 Season,Action,"Patty Mayo is back bigger than ever with a fully armored truck, grenade launchers, new team members and more destruction than ever before!",amazon,
s5700,Movie,Sahasam,Chandra Sekhar Yeleti,"Gopichand, Taapsee Pannu, Shakti Kapoor, Ali",,,2013,13+,149 min,"Action, Comedy, Science Fiction","Gautham Varma, an A.T.M security guard, goes on a treasure hunt for the diamonds hidden by his grandfather in the Hinglaj temple during the time of the India - Pakistan partition.",amazon,"6,7"
s5701,TV Show,Rattan,,"Sally Jing/ Jing Tian, Vin Zhang/Zhang Binbin",,,2021,18+,1 Season,"Drama, Romance","Many years ago, the plant-alien hybrid Si Teng was hunted down by a Xuanmen hunter. Chased across Shanghai, Si Teng fled for her life but escaping the relentless hunter proved impossible. With Qin Fang by her side, Si Teng learns what it means to live and love but the fragmented memories of her past continue to torment her.",amazon,7.8
s5702,Movie,PrimeVideoQATestMovie16 US,Test Director US,"Test Actor1 US, Test Actor2",,,2015,G,0 min,"Action, Drama",PrimeVideoQATestMovie16 US Title Summary Goes here total of Summary400,amazon,
s5703,Movie,Monster From Green Hell,Kenneth G. Crane,"Jim Davis, Robert Griffin, Babara Turner",,,1957,16+,72 min,"Horror, Science Fiction","A scientific expedition in Africa investigates wasps that have been exposed to radiation and mutated into giant, killing monsters.",amazon,3.6
