show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform,imdb_rating
s4602,Movie,Available,Les Mahoney,"Les Mahoney, Jana Podlipna, Paul Dean, Atoy Wilson, Gerold Wunstel, Mattea D'Amore, Leslie Eckl, Petra Herz",United States,,2016,13+,73 min,"Action, Drama, Suspense","James Kane receives an unexpected invitation to attend Oktoberfest from an old girlfriend in Germany and is soon plunged into the nightmare world of modern espionage, where he must confront the demons of his past if he is to survive.",amazon,"6,2"
s4603,Movie,Arishadvarga,Arvind Kamath,"Avinash Yelandur, Samyukta Hornad, Anju Alva Naik, Nanda Gopal, Mahesh Bung, Gopalkrishna Deshpande, Sripathi Manjanabailu, Aravind Kuplikar, Prema T, Hemanth Narayan, Srikanth LV, Anjum Anand, Deepak Ramesh",,,2020,18+,131 min,"Drama, Suspense","An aspiring actor doubling as an amateur gigolo opens Pandora's Box when he seeks out an anonymous client with the hopes of getting out of his dire financial situation but instead is rewarded with a surprise gift, ""A murder and a witness to his crime"". He now has to get out of it scot free. It's a tale of lust, anger, greed, power, jealousy, mistaken identity and individual deficiencies.",amazon,
s4604,Movie,Airline Disaster: Crash of the Century,Chantal Hebert,,,,2005,13+,87 min,"Action, Documentary, Special Interest","March 27, 1977. At 2:00 in the afternoon, a thick fog rolled into the usually quiet Los Rodeos Airport in Tenerife, in the Canary Islands. On the runway sat two fully loaded jumbo airliners. An explosion at a nearby airport had redirected air traffic to the undermanned airfield this island. Within three hours, 583 people would be dead. This film reconstructs the moments leading up to the tragedy.",amazon,
s4605,Movie,Accidental Christmas,Fred Olen Ray,"Cynthia Gibb, David Millbern",,,2007,,87 min,"Comedy, Kids",A couple separated for almost a year endure the machinations of their two children trying to effect a reconciliation.,amazon,4.5
s4606,Movie,A Night in Old Mexico,Emilio Aragón,"Robert Duvall, Jeremy Irvine, Angie Cepeda",,,2014,16+,104 min,"Action, Drama, Western","Forced to give up his land and his only home, cantankerous Texas rancher Red Bovie isn't about to go quietly to the dismal trailer park that's all he can now afford, and instead goes off with his grandson Gally - son of his long-estranged son Jimmy - for one last wild and woolly adventure during a night in Old Mexico.",amazon,
s4607,Movie,15-Minute Full Body Burn 3.0 Workout,,Maggie Binkley,,,2017,ALL,18 min,Fitness,"No equipment needed. Tip: complete Series 1.0 & 2.0 for 4+ weeks each prior to Series 3.0. This 15-minute workout is designed to work every major muscle efficiently & optimize calorie burn! All fitness levels. Find the Weekly Workout Schedule for this Series, and more, on my website (FitnessMaggie).",amazon,
s4608,Movie,10-Minute Guided Meditation,Mark Knight,Anne-Marie Newland,,,2016,ALL,13 min,"Fitness, Special Interest","Classically trained in the art of yoga in India and Canada, Anne-Marie Newland presents her own dynamic style of yoga known as Sun-Power Yoga. This meditation session helps reduce the heart rate as well as release natural endorphins to actively help with stress and depression. Accompanied by nature video of water around the world.",amazon,
s4609,TV Show,Young Charlie Chaplin,,"Ian McShane, Twiggy, Elizabeth Spriggs, Liz Smith",,,1989,13+,1 Season,"Arts, Entertainment, and Culture, Drama","The challenging and spirited early life of cinema's first great comedic artist, Charlie Chaplin, is portrayed. The innately talented young Charlie must overcome a wayward life of poverty and familial chaos to reach the pinnacle of stardom.",amazon,6.9
s4610,Movie,Winter Warrior,Robbie Moffat,"James Watson, Victoria Pritchard, Ilaria D'Elia, Jon Paul Gates, Ian Stirling",United Kingdom,,2003,16+,91 min,"Action, Adventure, Drama","In the autumn of 573AD, the eight-year civil war that divides the Celtic nations in post Romano-Britain ends at the battle of Arthuret. Fingal a Celtic mercenary soldier is returning home to his Roman wife, Lillian, who lives with his people of Caledon. Weighed down by his travel bags full of the treasures of war, he rescues the Jewish slave girl, Jessica from her Angle captors.",amazon,3.9
s4611,Movie,Trafficked,Will Wallace,"Ashley Judd, Elisabeth Röhm, Sean Patrick Flanery, Kelly Washington, Jessica Obilom, Alpa Banker, Anne Archer, Patrick Duffy",,,2017,R,100 min,"Drama, Suspense","In this story inspired by real characters, three girls from America, Nigeria and India are trafficked through an elaborate global network and enslaved in a Texas brothel, and must together attempt a daring escape to reclaim their freedom.",amazon,"5,7"
s4612,Movie,Shadow Government,André van Heerden,"Grant R. Jeffrey, Katherine Albrecht, Edward Griffin, Gary Kah, Jack Kinsella, Harry Lewis, Chuck Missler",,,2009,13+,88 min,Documentary,"Best-selling author Grant Jeffrey details how individual rights and freedoms have disappeared, how a system is now in place to control and monitor humanity, and how all this ties in to one of the Bible's most fascinating prophecies.",amazon,6.4
s4613,Movie,Rohan Joshi: Wake N Bake,Angshuman Ghosh,Rohan Joshi,India,,2019,16+,57 min,Comedy,"“Hysterical”, “unmissable”, “magnificent” are all words. Wake N Bake, Rohan Joshi’s first stand-up special also has words. Words about life in one’s thirties, mediocre education, home renovation, and 420-friendly living. Some of those words are even funny. It’s an hour of comedy you’ll never forget for five minutes.",amazon,
s4614,Movie,Off the Menu,Jay Silverman,"Dania Ramirez, Santino Fontana, Maria Conchita Alonso, Mackenzie Moss",,,2018,,96 min,Comedy,"An unlikely heir to a Mexican fast-food franchise goes 'cuisine' hunting for the next culinary big thing, and finds himself in a small, dusty New Mexican town where foodies come from all over to salivate over the culinary treats of a local, authentic, and feisty female chef.",amazon,"5,8"
