show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform,imdb_rating
s3229,Movie,Arc,Robert Ethan Gunnerson,"Jonah Blechman, Garrett M. Brown",,,2006,16+,113 min,Drama,"Set in the underbelly of Los Angeles' criminal underworld, Arc is the story of Paris Pritcher, a former police officer turned drug dealer and addict who embarks on a quest to find a missing child in the hope of redeeming his eroding character.",amazon,"6,6"
s3231,Movie,Apollo 13,"Noel Buckner, Rob Whittlesey","John Aaron, Fred Haise",,,1994,7+,51 min,Documentary,"They were 200,000 miles from Earth when an explosion crippled their spacecraft, stranding them, perhaps forever. Relive the thrilling true story of the catastrophic flight of Apollo 13 and the crew's heroic battle against the odds in this documentary, through first-hand accounts from the pilots, their families, and Mission Control.",amazon,"7,6"
s3236,Movie,Anthem of a Teenage Prophet,Robin Hays,"Cameron Monaghan, Peyton List, Juliette Lewis, Grayson Gabriel",,,2019,,102 min,"Drama, Young Adult Audience","Based on the award-winning novel, a teenager's gift of premonition becomes a curse when after predicting the death of one of his friends, Luke Hunter is dubbed the 'prophet of death' by a local news reporter. A media madhouse infiltrates Luke's life, desperate to know more. Troubled and confused, Luke must make sense of his newfound abilities in this fast-moving tale of struggling youth.",amazon,"5,4"
s3238,Movie,Antarctica,Keith Bearden,"Chloë Levine, Kimie Muroya, Bubba Weiler, Steve Lipman, Clea Lewis",,,2020,18+,81 min,"Comedy, Drama","Life-long friends Kat & Janet see everything flipped upside down as they hit senior year. Shy Kat is now popular, hooking up at parties, while misfit Janet is put on strange medication for her ""bad behavior."" Things get even odder when Janet meets a cute boy who might be a time traveler, & Kat's panicked parents send her off to sex rehab. Can anything make life in the suburbs normal again?",amazon,"7,3"
s3239,Movie,Another Mother's Son,Christopher Menaul,"Jenny Seagrove, John Hannah, Amanda Abbington, Sophie Skelton, Julian Kostov",,,2019,16+,103 min,Drama,"Jersey, 1942. The British Channel Islands fall to the Germans who put prisoners of war to work in slave labor camps. When a Russian soldier escapes the labor camps, seeking shelter, a Jersey resident, Lou, realizes she can't simply hand him back. Lou decides to harbor the fugitive, striking up a bond with the young, intelligent man whom she soon treats as her son.",amazon,"6,8"
s3241,TV Show,Annedroids,,"Addison Holley, Jadiel Dowlin, Adrianna Di Liello",,,2017,ALL,4 Seasons,Kids,"Anne is back with friends Nick and Shania for more adventures and experiments with their android friends; Pal, Eyes, and Hand. This season the team bands together and uses scientific approaches to solve problems including: getting lost in the wilderness, dealing with a friend moving, building a robot for competition, and defending the junkyard from Ada's hostile takeover in an epic series finale.",amazon,"6,3"
s3243,Movie,Anna Nicole Smith,Keoni Waxman,"Willa Ford, Richard Herd, Leslie Kay",,,2007,16+,87 min,Drama,The notorious life and shocking death of Anna Nicole Smith. From a seventeen year old single mother to an international sex symbol. From her marriage to a sixty three year old oil billionaire to the bitter battle over his estate. From the tragic loss of her beloved son Danial to her own sudden death at age thirty nine.,amazon,
s3244,Movie,Anna,Jorge Dorado,"Mark Strong, Brian Cox, Taissa Farmiga",,,2014,R,99 min,"Horror, Science Fiction, Suspense","A man with the ability to enter peoples' memories takes on the case of a brilliant, troubled sixteen-year-old girl to determine whether she is a sociopath or a victim of trauma.",amazon,"6,7"
s3245,Movie,Anita,Freida Lee Mock,Anita Hill,,,2014,13+,77 min,"Documentary, Special Interest","A profile of Anita Hill, the African-American lawyer who challenged Clarence Thomas' nomination to the US Supreme Court and thus exposed the problem of sexual harassment to the world.",amazon,"7,1"
s3246,TV Show,Animal Mechanicals,,,,,2011,TV-Y,2 Seasons,"Animation, Kids","Meet the Animal Mechanicals: Rex, Unicorn, Komodo, Sasquatch and Mouse. Animal Mechanicals is an action/adventure series for preschoolers that explores fantastic worlds, mythical animals and cool quests. And, best of all, Animal Mechanicals transform!",amazon,"6,7"
s3247,TV Show,Animal Kingdom,,"Ellen Barkin, Shawn Hatosy, Ben Robson, Jake Weary, Finn Cole, Sohvi Rodriguez, Molly Gordon",,,2019,TV-MA,4 Seasons,Drama,"In Season Four, the ruthless Cody crime family is as much of a threat to each other as they are to their targets. Smurf is back on top reminding her boys who’s boss no matter whom she hurts in the process. And as always, outsiders move in to threaten the Cody’s fragile peace, including a new criminal crew with a surprising connection to the Codys.",amazon,"8,2"
s3249,Movie,Animal,Brett Simmons,"Elizabeth Gillies, Joey Lauren Adams, Keke Palmer",,,2015,18+,82 min,Horror,"A vicious, bloodthirsty predator traps a group of friends (Keke Palmer, Jeremy Sumpter, Elizabeth Gillies) in an isolated cabin.",amazon,"4,8"
s3254,TV Show,Angelina Ballerina Classic,,"Finty Williams, Derek Jacobi, Judi Dench, Jo Wyatt, Keith Wickham, Jonell Elliott",,,2003,TV-Y,3 Seasons,Kids,"Join Angelina Ballerina and her friends as they go through the joys and frustrations of growing up as 'real life' is not a perfect ballet, and the steps are often hard and confusing.",amazon,"7,0"
s3260,Movie,Andy Kindler: I Wish I Was Bitter,Susan Maljan,Andy Kindler,,,2009,,47 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","With good natured rage, comedian and professional trouble maker Andy Kindler ridicules popular culture, show business, and himself in this intimate stand-up comedy performance.",amazon,"7,6"
s3261,TV Show,Andy Griffith Show,,"Andy Griffith, Frances Bavier, Ron Howard",,,1968,TV-NR,8 Seasons,Comedy,"The down-home folks of Mayberry are back for the farewell season of one the most beloved television series of all time. Joining Andy and his son Opie for some small-town adventures are Barney Fife, Aunt Bee and Goober.",amazon,"7,3"
s3262,Movie,Andrew Dice Clay: One Night with Dice,Kevin Padden,Andrew Dice Clay,,,1991,18+,46 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Before his first HBO special The Diceman Cometh and his feature-film debut in The Adventures of Ford Fairlaine, Andrew Dice Clay perfected his act along the comedy club circuit. This rare early performance from Philadelphia's Comedy Factory Outlet takes you back to Dice's roots as the original ""hoodlum of humor"" with a look at the early career of this groundbreaking, hardcore comic.",amazon,"6,6"
s3263,Movie,André Rieu And His Johann Strauss Orchestra - Christmas In London,"Michel Fizzano, Lida Huver","André Rieu, Johann Strauss Orchestra",,,2016,ALL,87 min,Music Videos and Concerts,"Experience Christmas in London with André Rieu. Everywhere decorated Christmas trees, beautifully lit streets, tempting Christmas show windows. Combine the unique London Christmas atmosphere with a wonderful Christmas concert by André Rieu and you have all the ingredients for a nice party in the dark December days.",amazon,
s3265,TV Show,Ancient Aliens,,Robert Clotworthy,,,2014,TV-PG,3 Seasons,"Documentary, Special Interest",Another season of alien intervention belongs to History. Ancient Aliens continues to examine 75 million years of the most credible alien evidence here on Earth.,amazon,"7,2"
